Year;Official exchange rate (LCU per US$, period average);Inflation, consumer prices (annual %);Total reserves (includes gold, current US$);Total reserves in months of imports;Total reserves minus gold (current US$);Foreign direct investment, net inflows (% of GDP);Foreign direct investment, net inflows (BoP, current US$);Personal remittances, received (current US$);GDP (current US$);Lending interest rate (%);External debt stocks, total (DOD, current US$);External debt stocks (% of GNI);Total debt service (% of GNI);Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$);Total debt service (% of exports of goods, services and primary income);Exports of goods and services (current US$);Imports of goods and services (current US$)
1960;49.3706000495261;..;..;..;..;..;..;..;673081724.7511678;..;..;..;..;..;..;67511336.70646092;111896638.89035174
1961;49.3706000495261;..;..;..;..;..;..;..;699161944.5580972;..;..;..;..;..;..;102110849.37189339;136359934.8600179
1962;49.3706000495261;..;48000000;..;48000000;..;..;..;739286907.5927778;..;..;..;..;..;..;101689130.77823643;135907021.58774653
1963;49.3706000495261;..;42800000;..;42800000;..;..;..;759345863.7326667;..;..;..;..;..;..;97047803.75365095;151309643.79610536
1964;49.3706000495261;..;51080000;..;51080000;..;..;..;802482183.7287778;..;..;..;..;..;..;106752579.47037305;159917394.15765658
1965;49.3706000495261;4.20186036589442;49882000;..;49882000;..;..;..;833563472.9981;..;..;..;..;..;..;110127942.54070236;166712685.282334
1966;49.3706000495261;3.21157397897554;51482000;..;51482000;..;..;..;900264584.5908293;..;..;..;..;..;..;155698196.90261003;208843980.020498
1967;49.3706000495261;0.815190376680787;42882000;..;42882000;..;..;..;956436932.101291;..;..;..;..;..;..;167512782.91128728;205672791.09429497
1968;49.3706000495261;0.956513164485543;30582000;..;30582000;..;..;..;1031669637.3955349;..;..;..;..;..;..;183124855.6833419;235119320.00016204
1969;51.9419750520327;3.82887282683659;19382000;..;19382000;..;..;..;1056391055.5961725;..;..;..;..;..;..;191304704.91351166;244148323.20103347
1970;55.5419000555419;2.87864534318793;37122000;..;37122000;0.8993941556902406;10000000;..;1111859570.882523;..;485146240.2;43.7518935119051;5.539168811982228;61421499.9;..;213036048.46071166;240001885.0633486
1971;55.4263250500801;5.38588149243495;46345062.7131481;..;46345062.7131481;0.09003694282721468;1080000;..;1199507631.0760274;..;488437476.9;40.94583966673658;5.633760056127472;67204374.6;..;173264898.94468018;252204260.34019035
1972;50.4053333316666;5.6225596527748;52241642.7066301;..;52241642.7066301;0.8944605896378164;12000000;..;1341590690.4136515;..;510135605.2;38.085682786105494;5.470553793148051;73274891.4;..;191350736.6373316;245822788.23552263
1973;44.5776666666667;6.1201018646478;67901725.093916;..;67901725.093916;0.6654316517338688;11000000;..;1653062335.0028615;..;504986847.3;30.64020199201778;5.1134899134451395;84276374.9;..;235525937.2366885;312077206.7322411
1974;48.14075;22.100944418778;49408139.478192;1.5986635312544668;49408139.478192;0.7149799381395873;13709798.8710188;415448.457;1917508190.0468938;..;750848944.2;39.45219930294233;4.515405426591046;85936588;29.87472413894429;297715413.65682924;387473830.38278383
1975;42.8624166633333;8.19121283215929;35577005.9247934;0.8501671352438425;35577005.9247934;0.2002922494227098;4572770.62885884;466609.2396;2283049215.3533945;..;791025348.4;34.8429962613931;2.827090496863491;64182202.6;16.586303570551504;362080610.15317917;476932068.48321223
1976;47.7899166633333;4.98681511862571;42161006.613331996;1.2222450667233133;42161006.613331996;0.063297117221386;1381044.46728693;711447.1793;2181844178.553396;..;189942758;8.75482492529741;0.506154923053761;10981426;3.2919422493072488;330849218.6751444;382361664.28160983
1977;49.1357499925;3.10895289128426;68920781.313251;1.814020683811624;68920781.313251;-0.11733462525608206;-2767842.15201272;325628.4893;2358930406.068901;..;781578848.3;33.15067184461727;6.20572240678415;136898940.5;37.753553625795256;387925899.16710335;472941273.91970205
1978;45.1309999933333;6.52844692261797;59221295.514892705;1.2150551390306759;59221295.514892705;-0.1377722351454923;-3678181.29499726;398838.9373;2669755115.1093483;..;355903317.7;13.335255688912618;0.7996423970931689;18035260.5;4.802386806469004;457890722.5632049;642273689.9248853
1979;42.5441666608333;14.0555922555516;5039519.96422063;0.0630872965274089;5039519.96422063;-0.19001792034710271;-6581395.80526257;47009.971;3463565853.81023;..;773090282;22.400834705857065;1.1164659277668836;33711751.2;7.862224641891618;504827947.38935655;1052478242.1994535
1980;42.2557499908333;18.2178658946756;9100000;0.09737745112478331;9100000;-0.015186997068713348;-790000;378646.7016;5201818347.7988205;..;1248330829.8;24.202107536759144;1.9456043401691179;68453156.3;19.359468057906433;554791922.8980671;1019609061.8909853
1981;54.3460833258333;30.5381774327711;26521651.885282602;0.38475054019288774;26521651.885282602;-0.016809074552750748;-800000;220807.0755;4759333998.367463;..;1613368349.2;34.540058420799106;2.35046343188604;69210298;27.62348464572259;423096592.79400134;696934879.0417886
1982;69.9471666641667;31.7897046510535;19959209.2954003;0.3183320099884814;19959209.2954003;-0.0018808866556537021;-90000;114372.0374;4784977325.958034;..;1932701142.1;41.21153046239627;2.3408666910099694;84169852.3;28.73368367458349;404922691.0362217;617989389.5917187
1983;86.0898333333333;19.328338591095;29225634.7171917;0.5222688161627219;29225634.7171917;0.0791642807195168;3710000;116157.7329;4686457031.226905;..;2040565064.6;44.667689725427884;1.8056935650396067;56609943.6;23.040508390760067;381908958.98241544;522094424.61109203
1984;115.3285;9.85662095433889;58899720.6417429;1.0605082367809988;58899720.6417429;0.21940949766598639;8570000;5636074.543;3905938480.8611917;..;2146908255.4;57.09995233349843;3.261050610143331;72978368.6;31.003580392584645;419879579.84366393;488824150.11033696
1985;132.4955;10.5564839573619;48443936.7311072;0.9137928285453627;48443936.7311072;-0.004733655738489781;-180000;4573740.005;3802557894.8719015;..;2529331046.5;68.84919753741381;4.07743408708309;94089581.6;42.28343773179571;376255635.308369;477012482.64280677
1986;135.268166666667;14.4973321039129;114524463.934045;1.9726703086862993;114524463.934045;0.32290783981255045;14039999.9;5869821.548;4347989788.092567;..;3007383734.1;71.72563846955624;5.027626345578544;138025666.4;52.26160457701674;428072463.8414003;508615749.29155356
1987;213.842666666667;14.9931351322502;185199306.274738;3.0625219888083612;185199306.274738;0.10800209778438524;3470000;4648277.283;3212900555.8090987;..;3683564458.8;121.24159058257354;8.069460077943333;187452842.5;56.7834871426087;454292492.35841227;513724261.9313198
1988;281.421333333333;26.8537971413812;223721112.621281;3.5262430256532933;223721112.621281;0.09123810203082705;2910000;4029545.307;3189456965.048204;..;3683557860.6;122.37025629754257;7.26104861842656;158537186.9;52.515470383071275;433265600.0638018;539406597.5197409
1989;320.6875;9.01299594555501;245265708.203012;3.8879066154464432;245265708.203012;0.4035791806324118;12816215.1627363;9741570.473;3175638332.6447086;22.25;3431373376.8;114.90306782978953;7.936785550931861;168520532.8;50.23638294218266;487655924.2284155;521021526.5546677
1990;298.829333333333;11.7844838321357;92084945.4410949;1.1223156312006664;92084945.4410949;0.5694595135548673;22387360.4554662;7870713.234;3931334875.0137587;25.8;3701101935.3;98.16134773089746;5.906794890621341;154666855.2;45.878793620508;505973443.8687115;767031802.2193624
1991;367.072;8.59264760490192;88857217.2395543;1.2625934108344894;88857217.2395543;0.4203516381419602;13681239.6478075;13130938.53;3254713056.021707;25.475;3908195316.3;126.33495770374124;5.195351298467946;115137423.7;32.94807297942452;519857359.0467265;643923815.7636648
1992;372.793333333334;14.5123786075771;84427500.1031254;1.146489725469244;84427500.1031254;0.5688436527699413;21132352.1522202;15214864.73;3714966678.33381;25;3911346484.2;109.6260551476071;2.7010416009359455;73628766.9;19.02994476323567;538527290.6691172;693267160.7085849
1993;382.7565;10.008361204014;80642850.0808044;0.9973313782370037;80642850.0808044;0.3779446781590827;15357022.02314;13543858.53;4063298919.2868047;25.65;3804731531.5;97.24908871165182;1.9972073551042246;59473466.6;14.891050843033259;561129087.8143153;774310221.7728503
